Track name: p232_001	PESQ: 2.926636	CSIG: 4.284055	CBAK: 3.262715	COVL: 3.584717	SSNR: 7.161749	STOI: 0.896450	
Track name: p232_042	PESQ: 2.945774	CSIG: 4.402505	CBAK: 3.211099	COVL: 3.678286	SSNR: 5.097193	STOI: 0.998201	
Track name: p232_043	PESQ: 1.604426	CSIG: 3.013370	CBAK: 2.034551	COVL: 2.271650	SSNR: -1.721869	STOI: 0.853318	
Track name: p232_044	PESQ: 1.120814	CSIG: 1.900228	CBAK: 1.482680	COVL: 1.413163	SSNR: -4.150683	STOI: 0.790619	
Track name: p232_045	PESQ: 3.762042	CSIG: 5.000000	CBAK: 3.507312	COVL: 4.425784	SSNR: 3.608889	STOI: 0.963289	
Track name: p232_046	PESQ: 2.036569	CSIG: 3.200459	CBAK: 2.286848	COVL: 2.568125	SSNR: -0.342496	STOI: 0.813736	
Track name: p232_047	PESQ: 2.302952	CSIG: 3.756559	CBAK: 2.352132	COVL: 2.999168	SSNR: -2.201070	STOI: 0.940955	
Track name: p232_048	PESQ: 1.863542	CSIG: 3.027888	CBAK: 1.793028	COVL: 2.354598	SSNR: -5.093007	STOI: 0.709026	
Track name: p232_049	PESQ: 2.707887	CSIG: 4.209480	CBAK: 3.481167	COVL: 3.470706	SSNR: 10.810512	STOI: 0.996422	
Track name: p232_050	PESQ: 1.658455	CSIG: 2.747245	CBAK: 2.214656	COVL: 2.156715	SSNR: 1.158855	STOI: 0.910741	
Track name: p232_051	PESQ: 1.411837	CSIG: 2.172959	CBAK: 1.732586	COVL: 1.717457	SSNR: -3.345212	STOI: 0.875292	
Track name: p232_052	PESQ: 1.155209	CSIG: 1.926124	CBAK: 1.615358	COVL: 1.465047	SSNR: -3.258687	STOI: 0.736194	
Track name: p232_053	PESQ: 2.413151	CSIG: 3.731453	CBAK: 2.933004	COVL: 3.046645	SSNR: 5.992574	STOI: 0.962058	
Track name: p232_054	PESQ: 2.030333	CSIG: 3.447219	CBAK: 2.706131	COVL: 2.717987	SSNR: 5.028217	STOI: 0.976728	
Track name: p232_055	PESQ: 1.838031	CSIG: 2.869863	CBAK: 2.178003	COVL: 2.323142	SSNR: -1.434714	STOI: 0.874917	
Track name: p232_056	PESQ: 1.273163	CSIG: 2.150378	CBAK: 1.614108	COVL: 1.633434	SSNR: -4.051952	STOI: 0.811290	
Track name: p232_057	PESQ: 3.024308	CSIG: 4.563305	CBAK: 3.458865	COVL: 3.815640	SSNR: 7.654827	STOI: 0.977925	
Track name: p232_058	PESQ: 3.350791	CSIG: 4.752107	CBAK: 3.672003	COVL: 4.078991	SSNR: 8.360507	STOI: 0.971553	
Track name: p232_059	PESQ: 2.266101	CSIG: 3.699614	CBAK: 2.309735	COVL: 2.960289	SSNR: -2.949685	STOI: 0.797438	
Track name: p232_060	PESQ: 2.233205	CSIG: 3.179557	CBAK: 2.178779	COVL: 2.665946	SSNR: -3.943132	STOI: 0.846703	
Track name: p232_061	PESQ: 2.818728	CSIG: 4.316925	CBAK: 3.389800	COVL: 3.580249	SSNR: 8.514403	STOI: 0.994763	
Track name: p232_062	PESQ: 2.000926	CSIG: 3.557905	CBAK: 2.635591	COVL: 2.763534	SSNR: 3.897135	STOI: 0.974712	
Track name: p232_063	PESQ: 1.920865	CSIG: 3.272062	CBAK: 2.280940	COVL: 2.568241	SSNR: -0.567999	STOI: 0.983463	
Track name: p232_064	PESQ: 1.322048	CSIG: 2.855471	CBAK: 1.697690	COVL: 2.029819	SSNR: -4.015498	STOI: 0.941783	
Track name: p232_065	PESQ: 2.345120	CSIG: 3.601140	CBAK: 2.703662	COVL: 2.908162	SSNR: 4.599470	STOI: 0.929293	
Track name: p232_066	PESQ: 2.673632	CSIG: 4.040216	CBAK: 3.152296	COVL: 3.349260	SSNR: 6.728257	STOI: 0.973664	
Track name: p232_067	PESQ: 2.587993	CSIG: 4.126406	CBAK: 2.765696	COVL: 3.357189	SSNR: 0.876326	STOI: 0.963751	
Track name: p232_068	PESQ: 1.990011	CSIG: 3.258406	CBAK: 2.308440	COVL: 2.602662	SSNR: -0.933655	STOI: 0.954138	
Track name: p232_069	PESQ: 2.321307	CSIG: 3.796506	CBAK: 3.124988	COVL: 3.047863	SSNR: 9.065863	STOI: 0.978265	
Track name: p232_070	PESQ: 1.920370	CSIG: 3.427481	CBAK: 2.649512	COVL: 2.657103	SSNR: 4.767110	STOI: 0.920118	
Track name: p232_071	PESQ: 1.511486	CSIG: 2.439825	CBAK: 2.153709	COVL: 1.918765	SSNR: 1.781155	STOI: 0.872816	
Track name: p232_072	PESQ: 1.157626	CSIG: 2.115124	CBAK: 1.618272	COVL: 1.554642	SSNR: -2.981123	STOI: 0.746963	
Track name: p232_073	PESQ: 2.412456	CSIG: 3.520867	CBAK: 2.631380	COVL: 2.916276	SSNR: 2.322098	STOI: 0.996824	
Track name: p232_074	PESQ: 2.219720	CSIG: 3.049801	CBAK: 2.649938	COVL: 2.629694	SSNR: 2.090541	STOI: 0.924943	
Track name: p232_075	PESQ: 1.486405	CSIG: 2.800515	CBAK: 2.034838	COVL: 2.095126	SSNR: -0.336480	STOI: 0.968461	
Track name: p232_076	PESQ: 1.194522	CSIG: 2.368476	CBAK: 1.547553	COVL: 1.676399	SSNR: -3.373084	STOI: 0.827150	
Track name: p232_077	PESQ: 3.163513	CSIG: 4.643980	CBAK: 3.362879	COVL: 3.919575	SSNR: 5.361408	STOI: 0.905440	
Track name: p232_078	PESQ: 3.336184	CSIG: 4.511212	CBAK: 3.339150	COVL: 3.937483	SSNR: 3.816643	STOI: 0.997868	
Track name: p232_079	PESQ: 2.737323	CSIG: 3.973721	CBAK: 2.871352	COVL: 3.355502	SSNR: 1.469824	STOI: 0.948011	
Track name: p232_080	PESQ: 1.626182	CSIG: 2.962909	CBAK: 1.795523	COVL: 2.249649	SSNR: -5.333916	STOI: 0.946399	
Track name: p232_081	PESQ: 2.523206	CSIG: 4.108932	CBAK: 3.192763	COVL: 3.318703	SSNR: 8.017931	STOI: 0.936494	
Track name: p232_082	PESQ: 1.468624	CSIG: 2.285783	CBAK: 1.844130	COVL: 1.749598	SSNR: 0.315169	STOI: 0.842128	
Track name: p232_083	PESQ: 1.861912	CSIG: 3.336267	CBAK: 2.299732	COVL: 2.561551	SSNR: 0.568276	STOI: 0.890954	
Track name: p232_084	PESQ: 1.212098	CSIG: 2.474152	CBAK: 1.636523	COVL: 1.773576	SSNR: -3.668028	STOI: 0.871200	
Track name: p232_085	PESQ: 3.811996	CSIG: 5.000000	CBAK: 3.847488	COVL: 4.541990	SSNR: 7.361290	STOI: 0.996799	
Track name: p232_086	PESQ: 3.091441	CSIG: 4.593182	CBAK: 3.194760	COVL: 3.856125	SSNR: 3.318144	STOI: 0.978355	
Track name: p232_087	PESQ: 3.114470	CSIG: 4.487436	CBAK: 2.949175	COVL: 3.786483	SSNR: 0.507748	STOI: 0.944818	
Track name: p232_088	PESQ: 2.127339	CSIG: 3.587869	CBAK: 2.334639	COVL: 2.820634	SSNR: -0.885446	STOI: 0.934819	
Track name: p232_089	PESQ: 1.955327	CSIG: 3.415777	CBAK: 2.825958	COVL: 2.666405	SSNR: 7.413922	STOI: 0.898073	
Track name: p232_090	PESQ: 1.827227	CSIG: 3.290028	CBAK: 2.614546	COVL: 2.542721	SSNR: 4.872769	STOI: 0.965344	
Track name: p232_091	PESQ: 1.495314	CSIG: 2.589435	CBAK: 2.017704	COVL: 1.997452	SSNR: -0.801801	STOI: 0.917689	
Track name: p232_092	PESQ: 1.407532	CSIG: 2.464732	CBAK: 1.744592	COVL: 1.870139	SSNR: -3.548410	STOI: 0.843868	
Track name: p232_093	PESQ: 2.293616	CSIG: 3.495737	CBAK: 2.987043	COVL: 2.882083	SSNR: 7.180821	STOI: 0.922610	
Track name: p232_094	PESQ: 1.772037	CSIG: 3.129495	CBAK: 2.550467	COVL: 2.434120	SSNR: 4.312078	STOI: 0.946940	
Track name: p232_095	PESQ: 1.112941	CSIG: 1.558894	CBAK: 2.096927	COVL: 1.305428	SSNR: 2.747661	STOI: 0.881510	
Track name: p232_096	PESQ: 1.144046	CSIG: 1.813003	CBAK: 1.539956	COVL: 1.401839	SSNR: -4.314218	STOI: 0.789077	
Track name: p232_097	PESQ: 2.581197	CSIG: 4.117901	CBAK: 3.247329	COVL: 3.355342	SSNR: 8.316566	STOI: 0.995714	
Track name: p232_098	PESQ: 2.202355	CSIG: 3.912551	CBAK: 2.843702	COVL: 3.069301	SSNR: 4.456538	STOI: 0.933078	
Track name: p232_099	PESQ: 2.974240	CSIG: 4.267533	CBAK: 3.034004	COVL: 3.619773	SSNR: 2.322612	STOI: 0.981425	
Track name: p232_100	PESQ: 2.189702	CSIG: 3.357878	CBAK: 2.195383	COVL: 2.745418	SSNR: -3.909592	STOI: 0.877887	
Track name: p232_101	PESQ: 2.775111	CSIG: 4.189626	CBAK: 3.083228	COVL: 3.472025	SSNR: 4.986253	STOI: 0.992907	
Track name: p232_102	PESQ: 2.332005	CSIG: 3.767402	CBAK: 2.703394	COVL: 3.025350	SSNR: 2.884636	STOI: 0.900941	
Track name: p232_103	PESQ: 1.526605	CSIG: 2.947558	CBAK: 2.204603	COVL: 2.192986	SSNR: 1.859535	STOI: 0.913271	
Track name: p232_104	PESQ: 1.292905	CSIG: 2.713635	CBAK: 1.852314	COVL: 1.956616	SSNR: -1.872586	STOI: 0.928304	
Track name: p232_105	PESQ: 3.552826	CSIG: 4.949945	CBAK: 3.556674	COVL: 4.262929	SSNR: 5.724883	STOI: 0.963571	
Track name: p232_106	PESQ: 3.350844	CSIG: 4.676763	CBAK: 3.362552	COVL: 4.019798	SSNR: 4.405653	STOI: 0.984321	
Track name: p232_107	PESQ: 2.960011	CSIG: 4.235841	CBAK: 2.912142	COVL: 3.590023	SSNR: 0.795668	STOI: 0.964682	
Track name: p232_108	PESQ: 1.864585	CSIG: 3.235545	CBAK: 1.873951	COVL: 2.484986	SSNR: -4.985657	STOI: 0.920185	
Track name: p232_109	PESQ: 2.326561	CSIG: 3.911557	CBAK: 3.217002	COVL: 3.119420	SSNR: 9.972944	STOI: 0.975598	
Track name: p232_110	PESQ: 1.402497	CSIG: 1.992742	CBAK: 2.205325	COVL: 1.658805	SSNR: 2.654987	STOI: 0.928454	
Track name: p232_112	PESQ: 1.831402	CSIG: 3.237605	CBAK: 2.279843	COVL: 2.504711	SSNR: 0.146663	STOI: 0.903274	
Track name: p232_113	PESQ: 1.269087	CSIG: 1.849863	CBAK: 1.556658	COVL: 1.479024	SSNR: -4.808498	STOI: 0.687415	
Track name: p232_114	PESQ: 2.277066	CSIG: 3.267200	CBAK: 3.206291	COVL: 2.784111	SSNR: 9.724736	STOI: 0.945903	
Track name: p232_115	PESQ: 2.084768	CSIG: 3.036862	CBAK: 2.694943	COVL: 2.529950	SSNR: 4.937348	STOI: 0.943599	
Track name: p232_116	PESQ: 1.636599	CSIG: 2.580541	CBAK: 2.166439	COVL: 2.089708	SSNR: -0.629235	STOI: 0.925166	
Track name: p232_117	PESQ: 1.137514	CSIG: 2.229279	CBAK: 1.727129	COVL: 1.617055	SSNR: -1.795380	STOI: 0.887555	
Track name: p232_118	PESQ: 3.321413	CSIG: 4.754255	CBAK: 3.670778	COVL: 4.066163	SSNR: 8.522646	STOI: 0.988591	
Track name: p232_119	PESQ: 2.876483	CSIG: 4.250334	CBAK: 3.185819	COVL: 3.575420	SSNR: 4.876267	STOI: 0.945972	
Track name: p232_120	PESQ: 2.702950	CSIG: 4.103482	CBAK: 2.662201	COVL: 3.388275	SSNR: -0.953258	STOI: 0.914438	
Track name: p232_121	PESQ: 1.422682	CSIG: 3.185568	CBAK: 2.139807	COVL: 2.284877	SSNR: 0.476533	STOI: 0.961237	
Track name: p232_123	PESQ: 2.839402	CSIG: 4.360516	CBAK: 3.479031	COVL: 3.613235	SSNR: 9.736135	STOI: 0.972597	
Track name: p232_124	PESQ: 2.117273	CSIG: 3.489886	CBAK: 2.574370	COVL: 2.791156	SSNR: 1.922977	STOI: 0.909142	
Track name: p232_125	PESQ: 1.758041	CSIG: 2.927093	CBAK: 2.131529	COVL: 2.300527	SSNR: -1.094095	STOI: 0.843164	
Track name: p232_126	PESQ: 1.387007	CSIG: 2.822068	CBAK: 1.834850	COVL: 2.062597	SSNR: -3.062439	STOI: 0.893259	
Track name: p232_127	PESQ: 3.712857	CSIG: 5.000000	CBAK: 3.720939	COVL: 4.461168	SSNR: 6.437954	STOI: 0.995044	
Track name: p232_128	PESQ: 2.023627	CSIG: 3.233033	CBAK: 2.559322	COVL: 2.608578	SSNR: 2.724515	STOI: 0.986529	
Track name: p232_129	PESQ: 2.510020	CSIG: 4.067641	CBAK: 2.998839	COVL: 3.273773	SSNR: 5.820822	STOI: 0.986207	
Track name: p232_130	PESQ: 1.697159	CSIG: 3.028410	CBAK: 1.905184	COVL: 2.291968	SSNR: -2.981227	STOI: 0.975149	
Track name: p232_131	PESQ: 2.331858	CSIG: 3.845159	CBAK: 3.120643	COVL: 3.091492	SSNR: 8.295955	STOI: 0.976009	
Track name: p232_132	PESQ: 1.981525	CSIG: 3.184027	CBAK: 2.560544	COVL: 2.558146	SSNR: 3.274325	STOI: 0.852578	
Track name: p232_133	PESQ: 1.188866	CSIG: 2.193170	CBAK: 1.855846	COVL: 1.630028	SSNR: -0.362539	STOI: 0.867167	
Track name: p232_134	PESQ: 1.227117	CSIG: 2.108171	CBAK: 1.444823	COVL: 1.557675	SSNR: -5.001514	STOI: 0.772661	
Track name: p232_135	PESQ: 2.638124	CSIG: 3.797074	CBAK: 2.962179	COVL: 3.192061	SSNR: 4.785703	STOI: 0.937793	
Track name: p232_136	PESQ: 1.543837	CSIG: 2.841573	CBAK: 1.940944	COVL: 2.126044	SSNR: -1.446952	STOI: 0.783159	
Track name: p232_137	PESQ: 1.740670	CSIG: 2.769080	CBAK: 1.983090	COVL: 2.201638	SSNR: -2.812040	STOI: 0.920847	
Track name: p232_138	PESQ: 1.524568	CSIG: 2.053694	CBAK: 1.743455	COVL: 1.708103	SSNR: -3.722401	STOI: 0.766629	
Track name: p232_139	PESQ: 3.483813	CSIG: 4.867546	CBAK: 3.635712	COVL: 4.195913	SSNR: 7.113959	STOI: 0.999815	
Track name: p232_140	PESQ: 2.825153	CSIG: 4.318369	CBAK: 2.949187	COVL: 3.571138	SSNR: 2.047779	STOI: 0.857601	
Track name: p232_141	PESQ: 2.735935	CSIG: 4.074853	CBAK: 2.880593	COVL: 3.408505	SSNR: 1.477964	STOI: 0.824189	
Track name: p232_142	PESQ: 1.952103	CSIG: 3.203934	CBAK: 2.309643	COVL: 2.566703	SSNR: -1.080201	STOI: 0.908514	
Track name: p232_143	PESQ: 2.627954	CSIG: 3.741546	CBAK: 2.850163	COVL: 3.132318	SSNR: 4.273465	STOI: 0.948506	
Track name: p232_144	PESQ: 2.375564	CSIG: 3.910000	CBAK: 2.854458	COVL: 3.124424	SSNR: 4.682104	STOI: 0.960364	
Track name: p232_145	PESQ: 1.629504	CSIG: 2.886386	CBAK: 2.176180	COVL: 2.215874	SSNR: 0.567495	STOI: 0.849253	
Track name: p232_146	PESQ: 1.882901	CSIG: 3.143436	CBAK: 2.070270	COVL: 2.467630	SSNR: -2.855534	STOI: 0.860977	
Track name: p232_147	PESQ: 3.967800	CSIG: 5.000000	CBAK: 4.119653	COVL: 4.679248	SSNR: 10.324459	STOI: 0.988570	
Track name: p232_148	PESQ: 3.281068	CSIG: 4.756412	CBAK: 3.475461	COVL: 4.040825	SSNR: 5.994565	STOI: 0.999416	
Track name: p232_150	PESQ: 3.312293	CSIG: 4.691543	CBAK: 2.968487	COVL: 3.995285	SSNR: -1.010540	STOI: 0.979164	
Track name: p232_151	PESQ: 1.441754	CSIG: 2.725867	CBAK: 1.734566	COVL: 2.005652	SSNR: -3.451662	STOI: 0.966248	
Track name: p232_152	PESQ: 1.898167	CSIG: 3.241829	CBAK: 2.522980	COVL: 2.529378	SSNR: 3.990614	STOI: 0.964324	
Track name: p232_153	PESQ: 1.662655	CSIG: 2.952328	CBAK: 2.306258	COVL: 2.272487	SSNR: 2.069546	STOI: 0.858774	
Track name: p232_154	PESQ: 1.264794	CSIG: 2.482974	CBAK: 1.842079	COVL: 1.816043	SSNR: -1.310325	STOI: 0.881788	
Track name: p232_155	PESQ: 1.144474	CSIG: 1.932098	CBAK: 1.626844	COVL: 1.457430	SSNR: -2.767175	STOI: 0.746649	
Track name: p232_156	PESQ: 2.347133	CSIG: 3.808586	CBAK: 3.056231	COVL: 3.071482	SSNR: 7.577335	STOI: 0.907285	
Track name: p232_158	PESQ: 1.691695	CSIG: 2.860268	CBAK: 2.545021	COVL: 2.254856	SSNR: 5.043820	STOI: 0.962068	
Track name: p232_159	PESQ: 1.665415	CSIG: 2.433999	CBAK: 1.968711	COVL: 1.987561	SSNR: -2.057367	STOI: 0.974708	
Track name: p232_160	PESQ: 1.088093	CSIG: 1.093102	CBAK: 1.706946	COVL: 1.019017	SSNR: -1.399133	STOI: 0.803551	
Track name: p232_161	PESQ: 3.401877	CSIG: 4.825123	CBAK: 3.767270	COVL: 4.146387	SSNR: 9.252984	STOI: 0.988405	
Track name: p232_162	PESQ: 1.498991	CSIG: 3.304982	CBAK: 2.236922	COVL: 2.383933	SSNR: 1.390349	STOI: 0.949266	
Track name: p232_163	PESQ: 2.793370	CSIG: 4.056396	CBAK: 2.855377	COVL: 3.416827	SSNR: 1.148454	STOI: 0.955523	
Track name: p232_164	PESQ: 1.836766	CSIG: 2.983330	CBAK: 2.091575	COVL: 2.372261	SSNR: -2.501812	STOI: 0.908339	
Track name: p232_165	PESQ: 2.353170	CSIG: 3.536947	CBAK: 2.755656	COVL: 2.907352	SSNR: 4.171227	STOI: 0.969887	
Track name: p232_167	PESQ: 2.758300	CSIG: 4.277013	CBAK: 3.136411	COVL: 3.521483	SSNR: 5.320624	STOI: 0.994619	
Track name: p232_169	PESQ: 1.711945	CSIG: 3.039196	CBAK: 2.360451	COVL: 2.350412	SSNR: 2.123441	STOI: 0.978515	
Track name: p232_170	PESQ: 1.288795	CSIG: 2.555898	CBAK: 1.687289	COVL: 1.847260	SSNR: -3.192148	STOI: 0.719960	
Track name: p232_171	PESQ: 2.817972	CSIG: 4.218592	CBAK: 3.144720	COVL: 3.515441	SSNR: 5.312798	STOI: 0.966629	
Track name: p232_172	PESQ: 3.788191	CSIG: 5.000000	CBAK: 3.572742	COVL: 4.435692	SSNR: 4.359985	STOI: 0.980311	
Track name: p232_173	PESQ: 2.130650	CSIG: 3.416179	CBAK: 2.220899	COVL: 2.713370	SSNR: -1.680205	STOI: 0.913319	
Track name: p232_174	PESQ: 1.566432	CSIG: 2.549059	CBAK: 1.737774	COVL: 1.969112	SSNR: -3.838970	STOI: 0.885896	
Track name: p232_175	PESQ: 2.383609	CSIG: 3.919671	CBAK: 3.192258	COVL: 3.149556	SSNR: 9.266669	STOI: 0.990331	
Track name: p232_176	PESQ: 1.466812	CSIG: 2.790542	CBAK: 2.285278	COVL: 2.095345	SSNR: 3.123229	STOI: 0.924323	
Track name: p232_177	PESQ: 1.337805	CSIG: 2.370709	CBAK: 1.740771	COVL: 1.789511	SSNR: -3.140118	STOI: 0.791947	
Track name: p232_178	PESQ: 1.247172	CSIG: 2.000044	CBAK: 1.629051	COVL: 1.539793	SSNR: -3.365773	STOI: 0.784978	
Track name: p232_179	PESQ: 2.028567	CSIG: 3.570082	CBAK: 2.912794	COVL: 2.789254	SSNR: 7.836127	STOI: 0.970267	
Track name: p232_180	PESQ: 2.090517	CSIG: 3.440053	CBAK: 2.671335	COVL: 2.749816	SSNR: 3.798760	STOI: 0.972233	
Track name: p232_181	PESQ: 1.747264	CSIG: 2.717272	CBAK: 1.988660	COVL: 2.160128	SSNR: -1.933827	STOI: 0.975574	
Track name: p232_182	PESQ: 1.301570	CSIG: 1.747951	CBAK: 1.633774	COVL: 1.438184	SSNR: -3.542997	STOI: 0.916830	
Track name: p232_183	PESQ: 3.055107	CSIG: 4.472835	CBAK: 3.199967	COVL: 3.764865	SSNR: 4.250606	STOI: 0.966275	
Track name: p232_184	PESQ: 2.673371	CSIG: 3.895671	CBAK: 3.103347	COVL: 3.295926	SSNR: 5.128494	STOI: 0.980858	
Track name: p232_185	PESQ: 2.377280	CSIG: 3.659575	CBAK: 2.695929	COVL: 3.009904	SSNR: 1.746618	STOI: 0.995933	
Track name: p232_186	PESQ: 1.395676	CSIG: 2.578547	CBAK: 1.669231	COVL: 1.916198	SSNR: -4.452614	STOI: 0.863868	
Track name: p232_187	PESQ: 2.193102	CSIG: 3.162476	CBAK: 2.575289	COVL: 2.624251	SSNR: 3.225330	STOI: 0.744928	
Track name: p232_188	PESQ: 2.385279	CSIG: 3.790369	CBAK: 2.831699	COVL: 3.075570	SSNR: 3.993099	STOI: 0.916066	
Track name: p232_189	PESQ: 1.691411	CSIG: 3.023300	CBAK: 2.141544	COVL: 2.292748	SSNR: 0.539789	STOI: 0.858628	
Track name: p232_190	PESQ: 1.484541	CSIG: 2.713259	CBAK: 1.719906	COVL: 2.014706	SSNR: -3.732362	STOI: 0.969341	
Track name: p232_191	PESQ: 3.208716	CSIG: 4.547795	CBAK: 3.202993	COVL: 3.875616	SSNR: 3.314452	STOI: 0.952971	
Track name: p232_193	PESQ: 2.400795	CSIG: 3.831129	CBAK: 2.705817	COVL: 3.081861	SSNR: 2.838849	STOI: 0.964922	
Track name: p232_194	PESQ: 2.129952	CSIG: 3.545072	CBAK: 2.481125	COVL: 2.805471	SSNR: 1.207863	STOI: 0.974779	
Track name: p232_195	PESQ: 2.650765	CSIG: 3.873314	CBAK: 2.521381	COVL: 3.227144	SSNR: -1.900139	STOI: 0.955930	
Track name: p232_196	PESQ: 2.297927	CSIG: 3.562635	CBAK: 2.787765	COVL: 2.891443	SSNR: 5.135058	STOI: 0.986497	
Track name: p232_197	PESQ: 2.234726	CSIG: 3.610352	CBAK: 2.844010	COVL: 2.903814	SSNR: 5.602246	STOI: 0.965850	
Track name: p232_198	PESQ: 1.445796	CSIG: 2.560158	CBAK: 1.783725	COVL: 1.918282	SSNR: -2.395403	STOI: 0.957122	
Track name: p232_199	PESQ: 1.172725	CSIG: 2.230505	CBAK: 1.576045	COVL: 1.620628	SSNR: -3.807848	STOI: 0.847148	
